🀄️ mahjong️
🃏 black_joker
🅰️ a
🅱️ b
🅾️ o2
🅿️ parking
🆎 ab
🆑 cl
🆒 cool
🆓 free
🆔 id
🆕 new
🆖 ng
🆗 ok
🆘 sos
🆙 up
🆚 vs
🇦🇨 flag_ac
🇦🇩 flag_ad
🇦🇪 flag_ae
🇦🇫 flag_af
🇦🇬 flag_ag
🇦🇮 flag_ai
🇦🇱 flag_al
🇦🇲 flag_am
🇦🇴 flag_ao
🇦🇶 flag_aq
🇦🇷 flag_ar
🇦🇸 flag_as
🇦🇹 flag_at
🇦🇺 flag_au
🇦🇼 flag_aw
🇦🇽 flag_ax
🇦🇿 flag_az
🇦 regional_indicator_a
🇧🇦 flag_ba
🇧🇧 flag_bb
🇧🇩 flag_bd
🇧🇪 flag_be
🇧🇫 flag_bf
🇧🇬 flag_bg
🇧🇭 flag_bh
🇧🇮 flag_bi
🇧🇯 flag_bj
🇧🇱 flag_bl
🇧🇲 flag_bm
🇧🇳 flag_bn
🇧🇴 flag_bo
🇧🇶 flag_bq
🇧🇷 flag_br
🇧🇸 flag_bs
🇧🇹 flag_bt
🇧🇻 flag_bv
🇧🇼 flag_bw
🇧🇾 flag_by
🇧🇿 flag_bz
🇧 regional_indicator_b
🇨🇦 flag_ca
🇨🇨 flag_cc
🇨🇩 flag_cd
🇨🇫 flag_cf
🇨🇬 flag_cg
🇨🇭 flag_ch
🇨🇮 flag_ci
🇨🇰 flag_ck
🇨🇱 flag_cl
🇨🇲 flag_cm
🇨🇳 flag_cn
🇨🇴 flag_co
🇨🇵 flag_cp
🇨🇷 flag_cr
🇨🇺 flag_cu
🇨🇻 flag_cv
🇨🇼 flag_cw
🇨🇽 flag_cx
🇨🇾 flag_cy
🇨🇿 flag_cz
🇨 regional_indicator_c
🇩🇪 flag_de
🇩🇬 flag_dg
🇩🇯 flag_dj
🇩🇰 flag_dk
🇩🇲 flag_dm
🇩🇴 flag_do
🇩🇿 flag_dz
🇩 regional_indicator_d
🇪🇦 flag_ea
🇪🇨 flag_ec
🇪🇪 flag_ee
🇪🇬 flag_eg
🇪🇭 flag_eh
🇪🇷 flag_er
🇪🇸 flag_es
🇪🇹 flag_et
🇪🇺 flag_eu
🇪 regional_indicator_e
🇫🇮 flag_fi
🇫🇯 flag_fj
🇫🇰 flag_fk
🇫🇲 flag_fm
🇫🇴 flag_fo
🇫🇷 flag_fr
🇫 regional_indicator_f
🇬🇦 flag_ga
🇬🇧 flag_gb
🇬🇩 flag_gd
🇬🇪 flag_ge
🇬🇫 flag_gf
🇬🇬 flag_gg
🇬🇭 flag_gh
🇬🇮 flag_gi
🇬🇱 flag_gl
🇬🇲 flag_gm
🇬🇳 flag_gn
🇬🇵 flag_gp
🇬🇶 flag_gq
🇬🇷 flag_gr
🇬🇸 flag_gs
🇬🇹 flag_gt
🇬🇺 flag_gu
🇬🇼 flag_gw
🇬🇾 flag_gy
🇬 regional_indicator_g
🇭🇰 flag_hk
🇭🇲 flag_hm
🇭🇳 flag_hn
🇭🇷 flag_hr
🇭🇹 flag_ht
🇭🇺 flag_hu
🇭 regional_indicator_h
🇮🇨 flag_ic
🇮🇩 flag_id
🇮🇪 flag_ie
🇮🇱 flag_il
🇮🇲 flag_im
🇮🇳 flag_in
🇮🇴 flag_io
🇮🇶 flag_iq
🇮🇷 flag_ir
🇮🇸 flag_is
🇮🇹 flag_it
🇮 regional_indicator_i
🇯🇪 flag_je
🇯🇲 flag_jm
🇯🇴 flag_jo
🇯🇵 flag_jp
🇯 regional_indicator_j
🇰🇪 flag_ke
🇰🇬 flag_kg
🇰🇭 flag_kh
🇰🇮 flag_ki
🇰🇲 flag_km
🇰🇳 flag_kn
🇰🇵 flag_kp
🇰🇷 flag_kr
🇰🇼 flag_kw
🇰🇾 flag_ky
🇰🇿 flag_kz
🇰 regional_indicator_k
🇱🇦 flag_la
🇱🇧 flag_lb
🇱🇨 flag_lc
🇱🇮 flag_li
🇱🇰 flag_lk
🇱🇷 flag_lr
🇱🇸 flag_ls
🇱🇹 flag_lt
🇱🇺 flag_lu
